WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
S048,CW_mixed_centered_1.0_0_mixed_R,CW_mixed_centered_1.0_0,R,L,CW,mixed,centered,1.0,mixed,1.0,R,L,138,4081
S048,B_mixed_centered_0.25_0_mixed_R,B_mixed_centered_0.25_0,R,L,B,mixed,centered,0.25,mixed,0.25,R,B,139,7603
S048,CD_pure_uncentered_1.0_1_blocks_R,CD_pure_uncentered_1.0_1,R,L,CD,pure,uncentered,1.0,blocks,1.0,R,L,140,3319
S048,CW_mixed_centered_0.25_0_blocks_N,CW_mixed_centered_0.25_0,L,L,CW,mixed,centered,0.25,blocks,0.25,N,L,141,3011
S048,D_mixed_uncentered_0.25_0_mixed_R,D_mixed_uncentered_0.25_0,B,B,D,mixed,uncentered,0.25,mixed,0.25,R,L,142,4556
S048,CW_pure_uncentered_1.0_1_blocks_R,CW_pure_uncentered_1.0_1,R,L,CW,pure,uncentered,1.0,blocks,1.0,R,L,143,4365
S048,CB_pure_uncentered_1.0_0_blocks_N,CB_pure_uncentered_1.0_0,R,R,CB,pure,uncentered,1.0,blocks,1.0,N,B,144,2885
S048,B_pure_centered_1.0_1_mixed_N,B_pure_centered_1.0_1,B,B,B,pure,centered,1.0,mixed,1.0,N,B,145,2686
S048,W_mixed_centered_1.0_0_mixed_R,W_mixed_centered_1.0_0,B,B,W,mixed,centered,1.0,mixed,1.0,R,L,146,4640
S048,W_pure_centered_1.0_0_mixed_R,W_pure_centered_1.0_0,R,L,W,pure,centered,1.0,mixed,1.0,R,L,147,2926
S048,CW_pure_centered_0.25_0_mixed_R,CW_pure_centered_0.25_0,R,L,CW,pure,centered,0.25,mixed,0.25,R,L,148,3450
S048,CW_mixed_centered_1.0_0_blocks_N,CW_mixed_centered_1.0_0,L,L,CW,mixed,centered,1.0,blocks,1.0,N,L,149,2760
S048,B_pure_uncentered_1.0_0_mixed_R,B_pure_uncentered_1.0_0,L,R,B,pure,uncentered,1.0,mixed,1.0,R,B,150,7906
S048,CD_mixed_uncentered_1.0_0_mixed_R,CD_mixed_uncentered_1.0_0,B,B,CD,mixed,uncentered,1.0,mixed,1.0,R,L,151,15455
S048,CD_pure_centered_1.0_0_blocks_N,CD_pure_centered_1.0_0,R,R,CD,pure,centered,1.0,blocks,1.0,N,L,152,7336
S048,D_mixed_uncentered_0.25_0_blocks_N,D_mixed_uncentered_0.25_0,L,L,D,mixed,uncentered,0.25,blocks,0.25,N,L,153,4979
S048,B_mixed_centered_1.0_1_blocks_R,B_mixed_centered_1.0_1,B,B,B,mixed,centered,1.0,blocks,1.0,R,B,154,4300
S048,B_mixed_centered_0.25_1_blocks_R,B_mixed_centered_0.25_1,B,B,B,mixed,centered,0.25,blocks,0.25,R,B,155,2472
S048,CB_pure_uncentered_0.25_0_mixed_R,CB_pure_uncentered_0.25_0,R,L,CB,pure,uncentered,0.25,mixed,0.25,R,B,156,2434
S048,CB_mixed_uncentered_1.0_0_mixed_R,CB_mixed_uncentered_1.0_0,R,L,CB,mixed,uncentered,1.0,mixed,1.0,R,B,157,2997
S048,CW_pure_uncentered_0.25_1_blocks_R,CW_pure_uncentered_0.25_1,L,R,CW,pure,uncentered,0.25,blocks,0.25,R,L,158,9799
S048,B_pure_centered_0.25_1_blocks_R,B_pure_centered_0.25_1,B,B,B,pure,centered,0.25,blocks,0.25,R,B,159,3183
S048,CW_pure_centered_0.25_0_blocks_N,CW_pure_centered_0.25_0,L,L,CW,pure,centered,0.25,blocks,0.25,N,L,160,11724
S048,CD_mixed_centered_1.0_0_blocks_N,CD_mixed_centered_1.0_0,L,L,CD,mixed,centered,1.0,blocks,1.0,N,L,161,3959
S048,W_pure_uncentered_0.25_0_mixed_R,W_pure_uncentered_0.25_0,B,B,W,pure,uncentered,0.25,mixed,0.25,R,L,162,2439
S048,D_pure_centered_0.25_1_blocks_R,D_pure_centered_0.25_1,R,L,D,pure,centered,0.25,blocks,0.25,R,L,163,1308
S048,B_pure_centered_1.0_0_blocks_N,B_pure_centered_1.0_0,B,B,B,pure,centered,1.0,blocks,1.0,N,B,164,1388
S048,CW_mixed_centered_1.0_1_mixed_N,CW_mixed_centered_1.0_1,L,L,CW,mixed,centered,1.0,mixed,1.0,N,L,165,2035
S048,CD_pure_centered_1.0_1_mixed_N,CD_pure_centered_1.0_1,R,R,CD,pure,centered,1.0,mixed,1.0,N,L,166,5952
S048,CD_mixed_uncentered_1.0_0_blocks_N,CD_mixed_uncentered_1.0_0,R,R,CD,mixed,uncentered,1.0,blocks,1.0,N,L,167,2076
S048,CW_mixed_centered_0.25_1_blocks_R,CW_mixed_centered_0.25_1,R,L,CW,mixed,centered,0.25,blocks,0.25,R,L,168,3461
S048,W_mixed_uncentered_0.25_1_mixed_N,W_mixed_uncentered_0.25_1,L,L,W,mixed,uncentered,0.25,mixed,0.25,N,L,169,3873
S048,B_mixed_uncentered_0.25_1_mixed_N,B_mixed_uncentered_0.25_1,B,B,B,mixed,uncentered,0.25,mixed,0.25,N,B,170,4989
S048,CD_pure_centered_0.25_1_mixed_N,CD_pure_centered_0.25_1,B,B,CD,pure,centered,0.25,mixed,0.25,N,L,171,5178
S048,CD_pure_centered_1.0_0_mixed_R,CD_pure_centered_1.0_0,L,R,CD,pure,centered,1.0,mixed,1.0,R,L,172,2234
S048,B_mixed_centered_0.25_1_mixed_N,B_mixed_centered_0.25_1,B,B,B,mixed,centered,0.25,mixed,0.25,N,B,173,2946
S048,CD_mixed_centered_0.25_0_blocks_N,CD_mixed_centered_0.25_0,R,R,CD,mixed,centered,0.25,blocks,0.25,N,L,174,2061
S048,CB_pure_centered_0.25_0_mixed_R,CB_pure_centered_0.25_0,L,R,CB,pure,centered,0.25,mixed,0.25,R,B,175,9967
