"N","S1","S2","S3","P1","P2","P3"
27,20,7,0,0.993754287733327,0.00624531020135914,4.02065313712486e-07
27,21,0,6,0.998136536024266,2.24514322692755e-07,0.0018632394614107
27,21,1,5,0.999236602685363,2.75936788538102e-06,0.000760637946751156
27,21,2,4,0.999713667616679,1.77232990084909e-05,0.000268609084312168
27,21,3,3,0.999843404559463,7.80160108392306e-05,7.85794296975e-05
27,21,4,2,0.999715581171111,0.000266624753522992,1.77940753655631e-05
27,21,5,1,0.999240362722038,0.000756880221973857,2.75705598870886e-06
27,21,6,0,0.998150417329145,0.00184936087829545,2.21792559433943e-07
27,22,0,5,0.999542761655429,1.1828175208687e-07,0.000457120062819317
27,22,1,4,0.999842291427629,1.47216113063461e-06,0.000156236411240317
27,22,2,3,0.99994598787561,9.68481068409255e-06,4.43273137060377e-05
27,22,3,2,0.999946271833173,4.39664561744677e-05,9.76171065221609e-06
27,22,4,1,0.999843139020032,0.000155382347812393,1.47863215587465e-06
27,22,5,0,0.99954697864328,0.000452904090424674,1.17266295142817e-07
27,23,0,4,0.999909724554829,6.06024168169412e-08,9.02148427544585e-05
27,23,1,3,0.999974460213412,7.72598508042327e-07,2.47671880795304e-05
27,23,2,2,0.999989467494857,5.24271418727788e-06,5.28979095613712e-06
27,23,3,1,0.999974602057417,2.46186497146278e-05,7.7929286841812e-07
27,23,4,0,0.999910660049943,8.92795774009961e-05,6.03726561073107e-08
27,24,0,3,0.999986212417383,3.0585571650421e-08,1.37569970450354e-05
27,24,1,2,0.999996755095293,4.0225855152033e-07,2.84264615584789e-06
27,24,2,1,0.999996769738463,2.82407821621036e-06,4.06183320507985e-07
27,24,3,0,0.999986361367785,1.36080279984766e-05,3.06042167698183e-08
27,25,0,2,0.999998464036288,1.53354374647506e-08,1.52062827464979e-06
27,25,1,1,0.999999581108991,2.08702562045604e-07,2.10188446671184e-07
27,25,2,0,0.99999848413788,1.50053244110312e-06,1.53296787741847e-08
27,26,0,1,0.999999883921783,7.67234748977334e-09,1.08405869780716e-07
27,26,1,0,0.999999886540003,1.0588778100433e-07,7.57221578911956e-09
27,27,0,0,0.999999992617712,3.68561066062949e-09,3.69667763942253e-09
28,0,0,28,1.91422487791949e-09,1.93102854403306e-09,0.99999999615489
28,0,1,27,3.81061826671635e-09,5.6201423228994e-08,0.99999993998803
28,0,2,26,7.59266573018700e-09,8.16227255899418e-07,0.999999176180147
28,0,3,25,1.51621207095918e-08,7.65375501652776e-06,0.999992331082941
28,0,4,24,3.02294705281316e-08,5.20792700345702e-05,0.99994789050056
28,0,5,23,5.95947325228661e-08,0.00027411534470119,0.999725825060639
28,0,6,22,1.14623353466961e-07,0.00116189597664648,0.998837989400076
28,0,7,21,2.11930457763982e-07,0.00407770225039916,0.99592208581921
28,0,8,20,3.71242487207997e-07,0.0120929257519887,0.987906703005608
28,0,9,19,6.08179785180996e-07,0.0307875945807568,0.969211797239519
28,0,10,18,9.21963199204393e-07,0.068161992636511,0.93183708540034
28,0,11,17,1.28303275618871e-06,0.132692138078306,0.867306578889018
28,0,12,16,1.63000565368035e-06,0.229449165604499,0.770549204389891
28,0,13,15,1.8837611781184e-06,0.355927985528463,0.644070130710408
28,0,14,14,1.9765467071196e-06,0.500418915382478,0.499579108070843
28,0,15,13,1.88180463080707e-06,0.644853951920061,0.355144166275361
28,0,16,12,1.62670656220119e-06,0.771186060176371,0.228812313117111
28,0,17,11,1.27929292089559e-06,0.867756125138972,0.132242595568186
28,0,18,10,9.18571521723799e-07,0.932111808976799,0.0678872724517299
28,0,19,9,6.05590258633128e-07,0.969356389283649,0.0306430051261538
28,0,20,8,3.69577490431417e-07,0.987971769876423,0.0120278605461697
28,0,21,7,2.11088909152418e-07,0.995946873388511,0.00405291552264673
28,0,22,6,1.1438263227772e-07,0.998845876321757,0.00115400929568741
28,0,23,5,5.96895044966359e-08,0.999727882359647,0.000272057950921363
28,0,24,4,3.04273345729999e-08,0.999948318926155,5.16506465742577e-05
28,0,25,3,1.53227775385551e-08,0.999992399502,7.58517530033219e-06
28,0,26,2,7.67716255808806e-09,0.999999184008691,8.0831421518964e-07
28,0,27,1,3.84023305551603e-09,0.999999940544736,5.56151020122371e-08
28,0,28,0,1.92055614358980e-09,0.999999996170134,1.90945293556412e-09
28,1,0,27,5.57447805345833e-08,3.87539079543338e-09,0.9999999403799
28,1,1,26,1.07309050197761e-07,1.09006441060777e-07,0.999999783684582
28,1,2,25,2.06495183492749e-07,1.52839834386178e-06,0.999998265106537
