Strategy,FitType,CVOrder,FitLLH,CVLLH
just_smp,all,15,-6060.811171647039,-5926.699379027128
just_smp,all,16,-5969.265281163277,-6019.801167710583
just_smp,all,17,-6066.95808749086,-5901.640760579908
just_smp,all,18,-6190.633664889325,-5786.001362950047
just_smp,all,19,-5996.143643799514,-5963.2695636631815
just_smp,all,20,-5905.653987772631,-6074.9447752474425
just_smp,all,21,-5949.15740615615,-6040.335334102891
just_smp,all,22,-6053.196964688914,-5925.249368046973
just_smp,all,23,-5951.12161615549,-6042.863648992488
just_smp,all,24,-5839.515346190539,-6131.588572555944
just_smp,all,25,-5993.114791689191,-5988.882120683539
just_smp,all,26,-6123.787753390846,-5856.125315646687
just_smp,all,27,-6076.11649310661,-5883.201161955785
just_smp,all,28,-5827.898005832017,-6148.815873139629
just_smp,all,29,-5988.187967132017,-5999.4756362616645
just_smp,all,30,-5818.443523774739,-6166.425272328058
just_smp,all,31,-6152.638132404034,-5822.490138075116
just_smp,all,32,-5959.779641486522,-6027.12866651962
just_smp,all,33,-5855.938598250328,-6121.621442522583
just_smp,all,34,-5951.611698386975,-6018.319747656162
just_smp,all,35,-6070.855378394904,-5898.42010180614
just_smp,all,36,-6049.847251916624,-5932.501727838924
just_smp,all,37,-5966.473285107538,-5999.8546923456015
just_smp,all,38,-5942.784039292462,-6027.11931878126
just_smp,all,39,-6065.966953574836,-5910.48195941166
just_smp,all,40,-6098.227594991016,-5890.417655369869
just_smp,all,41,-5910.885993828012,-6052.170559863123
just_smp,all,42,-5908.12577187097,-6096.251815183003
just_smp,all,43,-5966.060373598792,-6034.87722321618
just_smp,all,44,-5951.594179982516,-6011.264792353564
just_smp,all,45,-5997.480431226833,-5984.204778374223
just_smp,all,46,-6027.217863780878,-5969.121365573203
just_smp,all,47,-5956.68468640407,-6025.531014791591
just_smp,all,48,-6056.47106846312,-5914.72413310319
just_smp,all,49,-6000.180242844899,-5981.73235342802
just_phys,all,0,-6376.446059035021,-6334.429241967076
just_phys,all,1,-6332.132643026286,-6390.339439674264
just_phys,all,2,-6646.063042020923,-6080.155337180619
just_phys,all,3,-6492.614167922789,-6234.54263449848
just_phys,all,4,-6082.166629315726,-6629.114273841398
just_phys,all,5,-6228.192089201821,-6379.23717211162
just_phys,all,6,-6328.205227611849,-6375.139668759542
just_phys,all,7,-6374.27240382352,-6343.826346126587
just_phys,all,8,-6434.970083315216,-6264.412087741348
just_phys,all,9,-6289.493096384765,-6405.423510865982
just_phys,all,10,-6241.713402702809,-6452.075916346102
just_phys,all,11,-6445.450542678905,-6304.257168487009
just_phys,all,12,-6211.11649692651,-6467.14972473109
just_phys,all,13,-6430.980054998,-6266.427537440842
just_phys,all,14,-6228.017048860397,-6491.820986825437
just_phys,all,15,-6391.059401129575,-6296.061280371586
just_phys,all,16,-6294.715928552105,-6371.503236192982
just_phys,all,17,-6379.49580087111,-6329.908917818114
just_phys,all,18,-6541.085163857623,-6196.174263415335
just_phys,all,19,-6398.553336046673,-6313.592111709762
just_phys,all,20,-6266.332402036322,-6435.599731761408
just_phys,all,21,-6266.8505137383,-6440.491604875919
just_phys,all,22,-6397.705224626638,-6302.991154402893
just_phys,all,23,-6309.441764625632,-6392.927197084324
just_phys,all,24,-6151.930066905344,-6568.893927563626
just_phys,all,25,-6289.401427804841,-6387.320143717781
just_phys,all,26,-6406.087142914467,-6274.487563596207
just_phys,all,27,-6430.053358417167,-6292.622316325424
just_phys,all,28,-6215.300814190024,-6464.257898256647
just_phys,all,29,-6338.709301190895,-6373.7606681936695
just_phys,all,30,-6171.608410878506,-6497.508649421793
just_phys,all,31,-6505.686663248177,-6188.808449546783
just_phys,all,32,-6361.218269991693,-6343.937112069185
just_phys,all,33,-6192.99683800068,-6503.154472572973
just_phys,all,34,-6319.872587940288,-6366.873976430752
just_phys,all,35,-6509.853744118778,-6191.026607379955
just_phys,all,36,-6470.690037069889,-6207.436320392221
just_phys,all,37,-6318.786330340011,-6351.922277585388
just_phys,all,38,-6327.680598228723,-6341.339482777046
just_phys,all,39,-6482.068058509608,-6217.298524112844
just_phys,all,40,-6430.610150756873,-6275.761819978358
just_phys,all,41,-6241.068890056629,-6475.758489311063
just_phys,all,42,-6349.951444734417,-6353.270121980025
just_phys,all,43,-6331.422771190893,-6377.2792288908095
just_phys,all,44,-6335.923500598645,-6341.652747925072
just_phys,all,45,-6301.5838177368105,-6394.787758768125
just_phys,all,46,-6485.820457010555,-6238.734333367115
just_phys,all,47,-6369.415628038709,-6331.50834414042
just_phys,all,48,-6389.342245151644,-6326.206055148409
just_phys,all,49,-6292.4132398381325,-6400.55247548851
rules,all,0,-5875.070144487316,-5777.252512037416
rules,all,1,-5874.10737088521,-5762.598904811486
rules,all,2,-6054.782940283673,-5578.203859126988
rules,all,3,-5956.069871581507,-5697.568456967994
rules,all,4,-5550.149173234599,-6111.762595267969
rules,all,5,-5714.080889463058,-5926.173551438299
rules,all,6,-5749.155187211438,-5890.553198838969
rules,all,7,-5822.0341391405045,-5824.943034793005
rules,all,8,-5860.401468940092,-5773.420437638157
rules,all,9,-5742.580037656091,-5893.026199461069
rules,all,10,-5793.743656494495,-5848.033898409447
rules,all,11,-5878.008976221739,-5762.789033995239
rules,all,12,-5687.426683301124,-5950.5506405285405
rules,all,13,-5882.522054622667,-5763.998631704865
rules,all,14,-5805.355173188816,-5830.751296024693
rules,all,15,-5900.2181343216425,-5745.8690750211135
rules,all,16,-5801.316533513447,-5841.891059513682
rules,all,17,-5931.958489158128,-5725.486324413973
rules,all,18,-6013.953580783581,-5636.393056147407
rules,all,19,-5954.446073016337,-5695.823347580834
rules,all,20,-5805.939888115587,-5842.949606492761
rules,all,21,-5838.242258131,-5806.4611684403535
rules,all,22,-5922.233819348833,-5735.721993468613
rules,all,23,-5795.070699931905,-5835.967888324359
rules,all,24,-5619.8032075320425,-6017.5353312831485
rules,all,25,-5766.66725707435,-5867.997380342556
rules,all,26,-5966.734056085018,-5687.724014683948
rules,all,27,-5873.381641835894,-5765.028118083511
rules,all,28,-5699.841003867864,-5943.9914005839055
rules,all,29,-5814.058795904367,-5837.171521307914
rules,all,30,-5712.858704754399,-5921.694382009302
rules,all,31,-5958.783986977098,-5676.649358317354
rules,all,32,-5842.556205743529,-5799.306376776538
rules,all,33,-5651.399512517722,-5996.275974365389
rules,all,34,-5770.989917493052,-5859.116569432767
rules,all,35,-5928.631866719676,-5728.076543559474
rules,all,36,-5955.252736717272,-5686.267122903798
rules,all,37,-5826.003091436372,-5813.716130921756
rules,all,38,-5778.024900371113,-5866.057716358417
rules,all,39,-5867.862379819068,-5790.31633059712
rules,all,40,-5986.32128035053,-5658.079581496532
rules,all,41,-5712.011337276276,-5924.206680672873
rules,all,42,-5765.89421020251,-5874.141644870347
rules,all,43,-5804.144513911764,-5840.440984117597
rules,all,44,-5768.711508642535,-5878.426940436577
rules,all,45,-5804.584331248808,-5845.700922128803
rules,all,46,-5808.222183254494,-5831.612473973197
rules,all,47,-5833.319917061084,-5825.030539621039
rules,all,48,-5930.238032067033,-5729.284014760247
rules,all,49,-5728.732419811338,-5910.174721634163
add1_sm,all,0,-5679.912370069997,-5574.058666236247
add1_sm,all,1,-5673.011798083866,-5576.117945054793
add1_sm,all,2,-5862.316324397061,-5366.474386863035
add1_sm,all,3,-5789.576130083352,-5457.292855598346
add1_sm,all,4,-5342.616441215198,-5894.38897624971
add1_sm,all,5,-5531.635153438937,-5720.956037316693
add1_sm,all,6,-5536.323488658285,-5716.828433197111
add1_sm,all,7,-5621.333562471754,-5625.522679645487
add1_sm,all,8,-5665.219752500289,-5585.915916894653
add1_sm,all,9,-5572.926671878218,-5659.394724120174
add1_sm,all,10,-5564.546237281069,-5683.015838293087
add1_sm,all,11,-5744.274400866017,-5518.296282953088
add1_sm,all,12,-5489.370062693907,-5757.2472570828295
